Date,Close
2023-01-01,130.04968106238067
2023-01-02,123.2972522237687
2023-01-03,112.45491896713668
2023-01-04,112.41010664005715
2023-01-05,112.18718533409225
2023-01-06,153.0283750635985
2023-01-07,193.8360479874783
2023-01-08,144.97723156775842
2023-01-09,147.71410818868708
2023-01-10,163.95215806069226
2023-01-11,160.94388595125562
2023-01-12,118.60336796591501
2023-01-13,112.64635809136252
2023-01-14,151.33687755444012
2023-01-15,109.73959557903117
2023-01-16,157.41387788196076
2023-01-17,157.21082775409664
2023-01-18,100.4994738398796
2023-01-19,126.65284050209348
2023-01-20,105.12604659319962
2023-01-21,174.63700385948783
2023-01-22,175.05879681045124
2023-01-23,157.02749815113276
2023-01-24,134.68156456786187
2023-01-25,167.4572117487457
2023-01-26,160.44082852287406
2023-01-27,133.5387680283401
2023-01-28,188.05912188820167
2023-01-29,116.29727015886861
2023-01-30,108.89606067286346
